ID,Tên Test Case,Dữ liệu đầu vào,Kết quả kỳ vọng,Kết quả thực tế,Mức độ lỗi
,,,,,
,,== CHỨC NĂNG 1: ĐĂNG KÝ TÀI KHOẢN - ttgshop.vn/dang-ky ==,,,
TC_REG_01,Đăng ký thành công với dữ liệu hợp lệ (Happy Path),"Họ tên: Nguyen Van Test | SĐT: 0987654321 | Địa chỉ: 456 Phạm Văn Đồng Hà Nội | Email: test.ttg.xxx@gmail.com | MK: Playwright@2024",Đăng ký thành công - chuyển trang (về /dang-nhap hoặc trang chủ),Pass,N/A
TC_REG_02,Submit form khi tất cả trường đều trống,Tất cả trường rỗng,Hiển thị validation cho tất cả trường bắt buộc - ở lại /dang-ky,Pass,N/A
TC_REG_03,Họ và Tên chỉ 1 ký tự (dưới minlength=2),"Họ tên = ""A""",Hiển thị lỗi tên quá ngắn - ở lại /dang-ky,Pass,N/A
TC_REG_04,Họ và Tên chỉ toàn khoảng trắng - SERVER phải từ chối (Bug hệ thống),"Họ tên = ""     "" (5 dấu cách) | [Bypass HTML5 validation]",Server từ chối - ở lại /dang-ky (server phải validate khoảng trắng),Pass,N/A
TC_REG_05,Họ và Tên chứa chữ số - SERVER phải từ chối (Bug hệ thống),"Họ tên = ""Nguyen123"" | [Bypass HTML5 validation]",Server hiển thị lỗi tên không được chứa số,Fail,Medium
TC_REG_06,Họ và Tên chứa ký tự đặc biệt @#$ - SERVER phải từ chối (Bug hệ thống),"Họ tên = ""Nguyen@#$"" | [Bypass HTML5 validation]",Server hiển thị lỗi tên không được chứa ký tự đặc biệt,Fail,Medium
TC_REG_07,Họ và Tên quá dài 300 ký tự - SERVER phải từ chối (Bug hệ thống),"Họ tên = chuỗi 330 ký tự | [Bypass HTML5 validation]",Server hiển thị lỗi tên quá dài - không được submit,Fail,Low
TC_REG_08,Họ và Tên chứa mã XSS - không được thực thi script (Security),"Họ tên = <script>alert(""XSS"")</script> | [Bypass HTML5 validation]","Form bị server chặn hoặc script được escape - JS không thực thi",Pass,N/A
TC_REG_09,Số điện thoại chứa chữ cái,"SĐT = ""0912abc456""",Hiển thị lỗi SĐT không hợp lệ - ở lại /dang-ky,Pass,N/A
TC_REG_10,Số điện thoại chứa ký tự đặc biệt,"SĐT = ""0912-345-678""",Hiển thị lỗi SĐT không hợp lệ - ở lại /dang-ky,Pass,N/A
TC_REG_11,Số điện thoại quá ngắn (4 số),"SĐT = ""0912""",Hiển thị lỗi SĐT quá ngắn - ở lại /dang-ky,Pass,N/A
TC_REG_12,Số điện thoại quá dài (20 số) - SERVER phải từ chối (Bug hệ thống),"SĐT = ""09876543210123456789"" | [Bypass HTML5 validation]",Server hiển thị lỗi SĐT quá dài,Pass,N/A
TC_REG_13,Địa chỉ quá ngắn (7 ký tự - dưới minlength=8),"Địa chỉ = ""1234567""",Hiển thị lỗi địa chỉ quá ngắn - ở lại /dang-ky,Pass,N/A
TC_REG_14,Địa chỉ chỉ chứa khoảng trắng (8 dấu cách) - SERVER phải từ chối (Bug hệ thống),"Địa chỉ = ""        "" (8 dấu cách) | [Bypass HTML5 validation]",Server hiển thị lỗi địa chỉ không hợp lệ (bypass minlength bằng khoảng trắng),Pass,N/A
TC_REG_15,Địa chỉ cực dài 500 ký tự - SERVER phải từ chối (Bug hệ thống),"Địa chỉ = chuỗi 650 ký tự | [Bypass HTML5 validation]",Server hiển thị lỗi địa chỉ quá dài,Fail,Low
TC_REG_16,"Email sai định dạng (abc@)","Email = ""abc@""",Hiển thị lỗi email không hợp lệ - ở lại /dang-ky,Pass,N/A
TC_REG_17,Email không có ký tự @ (abcexample.com),"Email = ""abcexample.com""",Hiển thị lỗi email không hợp lệ - ở lại /dang-ky,Pass,N/A
TC_REG_18,"Email có dấu chấm cuối tên miền (abc@example.)","Email = ""abc@example.""",Hiển thị lỗi email không hợp lệ - ở lại /dang-ky,Pass,N/A
